raw_value,assignment_count,file_count,overlap_file_count,canonical_value,suggested_facet,suggested_action,suggestion_reason,reviewed_action,reviewed_facet,review_notes
R. W. Stewart,1,1,1,R. W. Stewart,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Randall T. Davidson,1,1,1,Randall T. Davidson,attribution,move_to_attribution,high_tag_attribution_overlap,,,
"Revelation 1:5, 6",1,1,1,"Revelation 1:5, 6",citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Revelation 4:11; 5:13,1,1,1,Revelation 4:11; 5:13,citation_scripture,move_to_citation,scripture_reference_or_provenance,,,
Richard Baxter,1,1,0,Richard Baxter,,keep,default_keep,,,
Richard of Chichester,1,1,1,Richard of Chichester,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Robert N. Rodenmeyer,1,1,1,Robert N. Rodenmeyer,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Robert Nelson,1,1,1,Robert Nelson,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Roman Breviary,1,1,1,Roman Breviary,source,move_to_source,high_overlap_and_source_like,,,
Roman Missal,1,1,1,Roman Missal,source,move_to_source,high_overlap_and_source_like,,,
Russian Contakion of the Departed,1,1,1,Russian Contakion of the Departed,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Rydal School Hymnal,1,1,1,Rydal School Hymnal,attribution,move_to_attribution,high_tag_attribution_overlap,,,
S. Gladstone,1,1,0,S. Gladstone,,keep,default_keep,,,
S. P. T. Prideaux,1,1,1,S. P. T. Prideaux,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Sarum Breviary,1,1,1,Sarum Breviary,source,move_to_source,high_overlap_and_source_like,,,
Sarum Missal,1,1,1,Sarum Missal,source,move_to_source,high_overlap_and_source_like,,,
School Prayers,1,1,0,School Prayers,,keep,default_keep,,,
Service Book for the Young,1,1,1,Service Book for the Young,source,move_to_source,high_overlap_and_source_like,,,
"St. Aldate’s Church, Oxford",1,1,1,"St. Aldate’s Church, Oxford",attribution,move_to_attribution,high_tag_attribution_overlap,,,
St. Benedict,1,1,1,St. Benedict,attribution,move_to_attribution,high_tag_attribution_overlap,,,
St. Hilary of Poitiers,1,1,0,St. Hilary of Poitiers,,keep,default_keep,,,
St. Patrick’s Breastplate,1,1,1,St. Patrick’s Breastplate,attribution,move_to_attribution,high_tag_attribution_overlap,,,
St. Paul’s Cathedral,1,1,1,St. Paul’s Cathedral,attribution,move_to_attribution,high_tag_attribution_overlap,,,
St. Richard of Chichester,1,1,1,St. Richard of Chichester,attribution,move_to_attribution,high_tag_attribution_overlap,,,
St. Thomas Aquinas,1,1,1,St. Thomas Aquinas,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Student Christian Movement,1,1,1,Student Christian Movement,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Suzanne de Dietrich,1,1,1,Suzanne de Dietrich,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Syrian Clementine Liturgy,1,1,0,Syrian Clementine Liturgy,,keep,default_keep,,,
Te Deum,1,1,1,Te Deum,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Thanksgivings for the Social Order,1,1,0,Thanksgivings for the Social Order,,keep,default_keep,,,
The Boys’ Prayer Book,1,1,1,The Boys’ Prayer Book,source,move_to_source,high_overlap_and_source_like,,,
The C.M.S. Prayer adapted,1,1,1,The C.M.S. Prayer adapted,attribution,move_to_attribution,high_tag_attribution_overlap,,,
The Earl of Meath,1,1,0,The Earl of Meath,,keep,default_keep,,,
The Narrow Way,1,1,1,The Narrow Way,attribution,move_to_attribution,high_tag_attribution_overlap,,,
The Prayer Manual,1,1,1,The Prayer Manual,attribution,move_to_attribution,high_tag_attribution_overlap,,,
The Royal Maundy,1,1,1,The Royal Maundy,attribution,move_to_attribution,high_tag_attribution_overlap,,,
The Unfolding Year,1,1,1,The Unfolding Year,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Thomas Aquinas,1,1,1,Thomas Aquinas,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Thomas Becon,1,1,1,Thomas Becon,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Toc H Prayers,1,1,1,Toc H Prayers,attribution,move_to_attribution,high_tag_attribution_overlap,,,
"Trinity College, Dublin",1,1,1,"Trinity College, Dublin",attribution,move_to_attribution,high_tag_attribution_overlap,,,
"United Lutheran Church, U.S.A.",1,1,1,"United Lutheran Church, U.S.A.",attribution,move_to_attribution,high_tag_attribution_overlap,,,
United Society for Christian Literature,1,1,1,United Society for Christian Literature,source,move_to_source,high_overlap_and_source_like,,,
Uppingham School Prayers,1,1,1,Uppingham School Prayers,attribution,move_to_attribution,high_tag_attribution_overlap,,,
W. Bellars,1,1,0,W. Bellars,,keep,default_keep,,,
W. Boyd Carpenter,1,1,0,W. Boyd Carpenter,,keep,default_keep,,,
W. Charter Piggott,1,1,1,W. Charter Piggott,attribution,move_to_attribution,high_tag_attribution_overlap,,,
W. Hay Aitken,1,1,1,W. Hay Aitken,attribution,move_to_attribution,high_tag_attribution_overlap,,,
W. J. Butler,1,1,0,W. J. Butler,,keep,default_keep,,,
W. K. Hamilton,1,1,0,W. K. Hamilton,,keep,default_keep,,,
W. L. Anderson,1,1,1,W. L. Anderson,attribution,move_to_attribution,high_tag_attribution_overlap,,,
W. M. Clow,1,1,1,W. M. Clow,attribution,move_to_attribution,high_tag_attribution_overlap,,,
W. Rigby Murray,1,1,1,W. Rigby Murray,attribution,move_to_attribution,high_tag_attribution_overlap,,,
W. Walshanz How,1,1,0,W. Walshanz How,,keep,default_keep,,,
W. Waltham How,1,1,0,W. Waltham How,,keep,default_keep,,,
"War Prayers, 1940",1,1,1,"War Prayers, 1940",attribution,move_to_attribution,high_tag_attribution_overlap,,,
Westminster Prayers,1,1,0,Westminster Prayers,,keep,default_keep,,,
When Two or Three,1,1,1,When Two or Three,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Wilfred B. Hornby,1,1,1,Wilfred B. Hornby,attribution,move_to_attribution,high_tag_attribution_overlap,,,
William Martin,1,1,0,William Martin,,keep,default_keep,,,
Winchester Cathedral,1,1,1,Winchester Cathedral,attribution,move_to_attribution,high_tag_attribution_overlap,,,
York Diocese,1,1,1,York Diocese,source,move_to_source,high_overlap_and_source_like,,,
"York Minster, 1547",1,1,1,"York Minster, 1547",attribution,move_to_attribution,high_tag_attribution_overlap,,,
