raw_value,assignment_count,file_count,overlap_file_count,overlap_ratio,canonical_value,reviewed_action,reviewed_facet,tag_surface_policy,confidence,rationale,review_notes
Based on Ephesians 1:17–21,1,1,1,1.00,Based on Ephesians 1:17–21,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Based on Ephesians 4:11–13,1,1,1,1.00,Based on Ephesians 4:11–13,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Based on Ephesians 4:30–32,1,1,1,1.00,Based on Ephesians 4:30–32,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Based on Ephesians 4:4–6,1,1,1,1.00,Based on Ephesians 4:4–6,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Based on Ephesians 6:11–17,1,1,1,1.00,Based on Ephesians 6:11–17,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
"Based on Galatians 5:22, 23",1,1,1,1.00,"Based on Galatians 5:22, 23",move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Based on Hebrews 10:19–24,1,1,1,1.00,Based on Hebrews 10:19–24,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
"Based on Hebrews 13:20, 21",1,1,1,1.00,"Based on Hebrews 13:20, 21",move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Based on John 4:23; Isaiah 29:13; Psalm 103.,1,1,1,1.00,Based on John 4:23; Isaiah 29:13; Psalm 103.,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Based on Luke 8:15,1,1,1,1.00,Based on Luke 8:15,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Based on Numbers 6:24–26,1,1,1,1.00,Based on Numbers 6:24–26,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Based on Philippians 1:9–11,1,1,1,1.00,Based on Philippians 1:9–11,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Based on Philippians 2:8–11,1,1,1,1.00,Based on Philippians 2:8–11,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Based on Philippians 2:9–11,1,1,1,1.00,Based on Philippians 2:9–11,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Based on Philippians 4:4–7,1,1,1,1.00,Based on Philippians 4:4–7,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
"Based on Psalm 119. 105, 18, 162",1,1,1,1.00,"Based on Psalm 119. 105, 18, 162",move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Based on Psalm 23:1–3,1,1,1,1.00,Based on Psalm 23:1–3,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Based on Romans 12:19–21,1,1,1,1.00,Based on Romans 12:19–21,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Based on Romans 12:6–10. #### The first sign,1,1,0,0.00,Based on Romans 12:6–10. #### The first sign,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
"Based on Romans 13. 11, 12, 1 Thessalonians 5:8",1,1,0,0.00,"Based on Romans 13. 11, 12, 1 Thessalonians 5:8",move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Based on Romans 15:13,1,1,1,1.00,Based on Romans 15:13,move_to_citation,citation_scripture,remove_from_tags,high,prefixed_provenance_scripture_reference,
Based on Thomas Ken,1,1,1,1.00,Based on Thomas Ken,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
Benedict of Nursia,1,1,1,1.00,Benedict of Nursia,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Benjamin Jenks,1,1,0,0.00,Benjamin Jenks,keep,topic,retain_tag,medium,topical_default,
Bible Reading Fellowship,1,1,1,1.00,Bible Reading Fellowship,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
"Book of Hours, 1864",1,1,1,1.00,"Book of Hours, 1864",move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
"Book of Offices, Methodist Church",1,1,1,1.00,"Book of Offices, Methodist Church",move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
Book of Public Worship,1,1,1,1.00,Book of Public Worship,move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
British Hospital for Mothers and Babies,1,1,1,1.00,British Hospital for Mothers and Babies,move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
Brompton Parish Church,1,1,1,1.00,Brompton Parish Church,move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
C. C. B. Bardsley,1,1,0,0.00,C. C. B. Bardsley,keep,topic,retain_tag,medium,topical_default,
C. M. Blagden,1,1,1,1.00,C. M. Blagden,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
C. S. Woodward,1,1,1,1.00,C. S. Woodward,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
C.I.P.B.C. Prayer Book,1,1,1,1.00,C.I.P.B.C. Prayer Book,move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
Central Board of Finance,1,1,1,1.00,Central Board of Finance,move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
Charles F. d’Arcy,1,1,1,1.00,Charles F. d’Arcy,move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
Charles Gore,1,1,1,1.00,Charles Gore,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Church Army,1,1,1,1.00,Church Army,move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
Church’s Ministry among the Jews,1,1,1,1.00,Church’s Ministry among the Jews,move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
Clement of Alexandria,1,1,1,1.00,Clement of Alexandria,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Collect of Easter Even,1,1,1,1.00,Collect of Easter Even,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Community of the Resurrection,1,1,1,1.00,Community of the Resurrection,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Daybreak Office of the Eastern Church,1,1,1,1.00,Daybreak Office of the Eastern Church,move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
Diocese of Rochester,1,1,1,1.00,Diocese of Rochester,move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
Diocese of Uganda,1,1,1,1.00,Diocese of Uganda,move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
Douglas Crick,1,1,1,1.00,Douglas Crick,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
E. C. Ratcliff,1,1,0,0.00,E. C. Ratcliff,keep,topic,retain_tag,medium,topical_default,
E. M. Venables,1,1,0,0.00,E. M. Venables,keep,topic,retain_tag,medium,topical_default,
Edward Hawkins,1,1,1,1.00,Edward Hawkins,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Emil E. Fischer,1,1,1,1.00,Emil E. Fischer,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Ephesians 3:14–19,1,1,1,1.00,Ephesians 3:14–19,keep,topic,retain_tag,medium,topical_default,
"Ephesians 3:20, 21",1,1,1,1.00,"Ephesians 3:20, 21",keep,topic,retain_tag,medium,topical_default,
Eric Fenn,1,1,1,1.00,Eric Fenn,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
F. D. Maurice,1,1,1,1.00,F. D. Maurice,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
F. J. A. Hort,1,1,0,0.00,F. J. A. Hort,keep,topic,retain_tag,medium,topical_default,
Faith and Order Conference Manual,1,1,0,0.00,Faith and Order Conference Manual,keep,topic,retain_tag,medium,topical_default,
Fellowship Litanies,1,1,1,1.00,Fellowship Litanies,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Fielding Ould,1,1,1,1.00,Fielding Ould,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Fifth century,1,1,1,1.00,Fifth century,move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
"Form of National Prayer, 1942",1,1,1,1.00,"Form of National Prayer, 1942",move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
"Form of National Prayer, May 1940",1,1,1,1.00,"Form of National Prayer, May 1940",move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
Francis J. Moore,1,1,0,0.00,Francis J. Moore,keep,topic,retain_tag,medium,topical_default,
Francis Xavier,1,1,1,1.00,Francis Xavier,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Franciscan Breviary,1,1,1,1.00,Franciscan Breviary,move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
Frank Edward Brightman,1,1,1,1.00,Frank Edward Brightman,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
From an ancient prayer,1,1,1,1.00,From an ancient prayer,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
From Book of Common Prayer,1,1,1,1.00,From Book of Common Prayer,move_to_source,source_text,remove_from_tags,high,prefixed_provenance_non_scriptural_source,
From Primer of 1555,1,1,1,1.00,From Primer of 1555,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
From the Gothic,1,1,1,1.00,From the Gothic,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
From the Litany,1,1,1,1.00,From the Litany,move_to_source,source_text,remove_from_tags,medium,prefixed_provenance_default_source,
