value,overlap_file_count,tag_assignment_count,attribution_assignment_count,section_count,sections
Gothic Missal,1,2,1,1,parish-year
Gregory Nazianzen,1,1,1,1,parish-year
Guildford Diocese,1,1,1,1,parish-occasions
H. Bisseker,1,1,1,1,parish-year
H. C. Cooksey,1,1,1,1,parish-year
H. J. Wotherspoon,1,1,1,1,parish-year
H. Stobat,1,1,1,1,parish-year
Handley C. G. Moule,1,3,1,2,parish-intercessory;parish-year
"Hebrews 13:20, 21",1,1,1,1,parish-devotional
Henry Hayman,1,1,1,1,parish-intercessory
Henry Scott Holland,1,1,1,1,parish-intercessory
Hugh Martin,1,1,1,1,parish-year
Ignatius,1,1,1,1,potec
In the Tradition of Francis of Assisi,1,1,1,1,acna2019
In Watchings Often,1,1,1,1,parish-intercessory
Irenaeus,1,1,1,1,potec
J. H. Oldham,1,1,1,1,parish-occasions
J. W. Suter,1,1,1,1,parish-year
James Mountain,1,2,1,1,parish-year
James Wareham,1,1,1,1,parish-supplementary
John Calvin,1,1,1,1,parish-supplementary
John Henry Newman,1,1,1,1,acna2019
John Wesley,1,1,1,1,acna2019
Joost de Blank,1,1,1,1,parish-intercessory
Joseph Hall,1,1,1,1,parish-year
Joseph Mercier,1,1,1,1,acna2019
"Jude 24, 25",1,1,1,1,parish-devotional
Julian of Norwich,1,1,1,1,acna2019
King Alfred,1,1,1,1,parish-devotional
"King’s College Chapel, Cambridge",1,1,1,1,parish-supplementary
"Knox’s Book of Common Order, 1564",1,1,1,1,parish-devotional
L. Tuttiet,1,1,1,1,parish-year
"Lambeth Conference, 1930",1,1,1,1,parish-intercessory
"Lambeth Conference, 1958",1,1,1,1,parish-intercessory
Laurence Binyon,1,1,1,1,parish-occasions
"Leaflet of the Collegium, 1914",1,1,1,1,parish-intercessory
Lionel James,1,1,1,1,parish-sacraments
Liturgy of St. Basil,1,1,1,1,acna2019
Liturgy of St. Dionysius,1,1,1,1,parish-intercessory
Liturgy of St. Mark,1,9,1,2,parish-intercessory;potec
Liturgy of the Reformed Church of France,1,1,1,1,parish-occasions
Luke 2:15; Isaiah 9:6,1,1,1,1,parish-year
M. A. P. Wood (after St. Augustine),1,1,1,1,parish-devotional
Macrina the Younger,1,1,1,1,other
Mandell Creighton,1,1,1,1,parish-year
Miles Coverdale,1,1,1,1,acna2019
Mozarabic Liturgy,1,1,1,1,parish-devotional
Nicholas Ridley,1,1,1,1,parish-devotional
