raw_value,assignment_count,file_count,canonical_value,action,notes
Based on Thomas Ken,1,1,Based on Thomas Ken,keep,
Benedict of Nursia,1,1,Benedict of Nursia,keep,
Benjamin Jenks*,1,1,Benjamin Jenks*,keep,
Bible Reading Fellowship,1,1,Bible Reading Fellowship,keep,
"Book of Hours, 1864",1,1,"Book of Hours, 1864",keep,
"Book of Offices, Methodist Church",1,1,"Book of Offices, Methodist Church",keep,
Book of Prayers for Students,1,1,Book of Prayers for Students,keep,
Book of Prayers for Students*,1,1,Book of Prayers for Students*,keep,
Book of Public Worship,1,1,Book of Public Worship,keep,
British Hospital for Mothers and Babies,1,1,British Hospital for Mothers and Babies,keep,
Brompton Parish Church,1,1,Brompton Parish Church,keep,
C. C. B. Bardsley*,1,1,C. C. B. Bardsley*,keep,
C. J. Vaughan*,1,1,C. J. Vaughan*,keep,
C. M. Blagden,1,1,C. M. Blagden,keep,
C. S. Woodward,1,1,C. S. Woodward,keep,
C.I.P.B.C. Prayer Book,1,1,C.I.P.B.C. Prayer Book,keep,
Central Board of Finance,1,1,Central Board of Finance,keep,
Charles F. d’Arcy,1,1,Charles F. d’Arcy,keep,
Charles Gore,1,1,Charles Gore,keep,
Charles H. Brent*,1,1,Charles H. Brent*,keep,
Christian von Bunsen,1,1,Christian von Bunsen,keep,
Christian von Bunsen*,1,1,Christian von Bunsen*,keep,
Christina Rossetti*,1,1,Christina Rossetti*,keep,
Church Army,1,1,Church Army,keep,
Church’s Ministry among the Jews,1,1,Church’s Ministry among the Jews,keep,
Clement of Alexandria,1,1,Clement of Alexandria,keep,
Collect of Easter Even,1,1,Collect of Easter Even,keep,
Community of the Resurrection,1,1,Community of the Resurrection,keep,
Coptic Liturgy of St. Cyril,1,1,Coptic Liturgy of St. Cyril,keep,
Country Services*,1,1,Country Services*,keep,
Daily Prayer*,1,1,Daily Prayer*,keep,
Daybreak Office of the Eastern Church,1,1,Daybreak Office of the Eastern Church,keep,
Diocese of Rochester,1,1,Diocese of Rochester,keep,
Diocese of Southwark,1,1,Diocese of Southwark,keep,
Diocese of Southwark*,1,1,Diocese of Southwark*,keep,
Diocese of Uganda,1,1,Diocese of Uganda,keep,
Douglas Crick,1,1,Douglas Crick,keep,
E. B. Pusey*,1,1,E. B. Pusey*,keep,
E. C. Ratcliff*,1,1,E. C. Ratcliff*,keep,
E. M. Venables*,1,1,E. M. Venables*,keep,
E. W. Benson*,1,1,E. W. Benson*,keep,
Edward Hawkins,1,1,Edward Hawkins,keep,
Emil E. Fischer,1,1,Emil E. Fischer,keep,
Ephesians 3:14–19,1,1,Ephesians 3:14–19,keep,
"Ephesians 3:20, 21",1,1,"Ephesians 3:20, 21",keep,
Erasmus,1,1,Erasmus,keep,
Eric Fenn,1,1,Eric Fenn,keep,
Eugene Bersier,1,1,Eugene Bersier,keep,
Eugene Bersier*,1,1,Eugene Bersier*,keep,
F. D. Maurice,1,1,F. D. Maurice,keep,
F. J. A. Hort*,1,1,F. J. A. Hort*,keep,
Faith and Order Conference Manual*,1,1,Faith and Order Conference Manual*,keep,
Fellowship Litanies,1,1,Fellowship Litanies,keep,
Fielding Ould,1,1,Fielding Ould,keep,
Fifth century,1,1,Fifth century,keep,
"Form of National Prayer, 1942",1,1,"Form of National Prayer, 1942",keep,
"Form of National Prayer, May 1940",1,1,"Form of National Prayer, May 1940",keep,
Francis J. Moore*,1,1,Francis J. Moore*,keep,
Francis Xavier,1,1,Francis Xavier,keep,
Franciscan Breviary,1,1,Franciscan Breviary,keep,
Frank Edward Brightman,1,1,Frank Edward Brightman,keep,
From an ancient prayer,1,1,From an ancient prayer,keep,
From Book of Common Prayer,1,1,From Book of Common Prayer,keep,
From Primer of 1555,1,1,From Primer of 1555,keep,
From the Gothic,1,1,From the Gothic,keep,
From the Litany,1,1,From the Litany,keep,
From the Liturgy of Malabar,1,1,From the Liturgy of Malabar,keep,
From the Order of Compline,1,1,From the Order of Compline,keep,
G. C. Binyon,1,1,G. C. Binyon,keep,
G. C. Binyon*,1,1,G. C. Binyon*,keep,
G. E. L. Cotton,1,1,G. E. L. Cotton,keep,
Gavin Hamilton*,1,1,Gavin Hamilton*,keep,
Geneva Bible,1,1,Geneva Bible,keep,
Geoffrey F. Fisher,1,1,Geoffrey F. Fisher,keep,
George Adam Smith,1,1,George Adam Smith,keep,
George Dawson*,1,1,George Dawson*,keep,
George H. Russell,1,1,George H. Russell,keep,
George Hickes,1,1,George Hickes,keep,
George Timms (after C. J. Vaughan),1,1,George Timms (after C. J. Vaughan),keep,
Gladys E. Bretherton,1,1,Gladys E. Bretherton,keep,
"Godly Prayers, 1559*",1,1,"Godly Prayers, 1559*",keep,
Gothic Missal,1,1,Gothic Missal,keep,
Gothic Missal *,1,1,Gothic Missal *,keep,
Gregory Nazianzen,1,1,Gregory Nazianzen,keep,
Guildford Diocese,1,1,Guildford Diocese,keep,
H. Bisseker,1,1,H. Bisseker,keep,
H. C. Cooksey,1,1,H. C. Cooksey,keep,
H. J. Wotherspoon,1,1,H. J. Wotherspoon,keep,
H. Stobat,1,1,H. Stobat,keep,
Handley C. G. Moule,1,1,Handley C. G. Moule,keep,
"Hebrews 13:20, 21",1,1,"Hebrews 13:20, 21",keep,
Henry Hayman,1,1,Henry Hayman,keep,
Henry Scott Holland,1,1,Henry Scott Holland,keep,
Hugh Martin,1,1,Hugh Martin,keep,
Ignatius,1,1,Ignatius,keep,
In the Tradition of Francis of Assisi,1,1,In the Tradition of Francis of Assisi,keep,
In Watchings Often,1,1,In Watchings Often,keep,
Inter-Varsity Fellowship*,1,1,Inter-Varsity Fellowship*,keep,
Irenaeus,1,1,Irenaeus,keep,
J. Armitage Robinson*,1,1,J. Armitage Robinson*,keep,
J. H. Oldham,1,1,J. H. Oldham,keep,
J. W. Suter,1,1,J. W. Suter,keep,
James Ferguson*,1,1,James Ferguson*,keep,
James Martineau*,1,1,James Martineau*,keep,
James Mountain,1,1,James Mountain,keep,
James Mountain*,1,1,James Mountain*,keep,
James Wareham,1,1,James Wareham,keep,
John Calvin,1,1,John Calvin,keep,
John Cosin*,1,1,John Cosin*,keep,
John Henry Newman,1,1,John Henry Newman,keep,
John Hunter*,1,1,John Hunter*,keep,
John Wesley,1,1,John Wesley,keep,
Joost de Blank,1,1,Joost de Blank,keep,
Joseph Hall,1,1,Joseph Hall,keep,
Joseph Mercier,1,1,Joseph Mercier,keep,
"Jude 24, 25",1,1,"Jude 24, 25",keep,
Julian of Norwich,1,1,Julian of Norwich,keep,
King Alfred,1,1,King Alfred,keep,
"King’s College Chapel, Cambridge",1,1,"King’s College Chapel, Cambridge",keep,
