raw_tag,assignment_count,current_action,current_facet,extreme_action,extreme_tag,reason,confidence
The Eastern Church,4,keep,life_or_church_context,map,Easter,seasonal_rule,high
Third Sunday After Easter,4,keep,topic,map,Easter,seasonal_rule,high
Thirteenth Sunday After Trinity,4,keep,topic,drop,,not_in_extreme_canonical_set,medium
Twelfth Sunday After Trinity,4,keep,topic,drop,,not_in_extreme_canonical_set,medium
Twenty-First Sunday After Trinity,4,keep,topic,drop,,not_in_extreme_canonical_set,medium
Twenty-Fourth Sunday After Trinity,4,keep,topic,drop,,not_in_extreme_canonical_set,medium
Twenty-Third Sunday After Trinity,4,keep,topic,drop,,not_in_extreme_canonical_set,medium
William Laud,4,keep,topic,drop,,not_in_extreme_canonical_set,medium
"A Form of Prayer, August 1914",3,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
"A Form of Prayer, August 1918",3,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
After Jeremy Taylor,3,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
"Anglican Altar Services, 1941",3,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Arthur W. Robinson,3,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Basil,3,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Charles H. Brent,3,keep,topic,drop,,not_in_extreme_canonical_set,medium
E. M. Goulburn,3,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
E. Milner-White,3,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Erasmus,3,keep,topic,drop,,not_in_extreme_canonical_set,medium
For the Blessing of a Civil Marriage,3,keep,life_or_church_context,drop,,not_in_extreme_canonical_set,medium
Gallican Sacramentary,3,keep,topic,drop,,not_in_extreme_canonical_set,medium
Gavin Hamilton,3,keep,topic,drop,,not_in_extreme_canonical_set,medium
George H. Russell,3,keep,topic,drop,,not_in_extreme_canonical_set,medium
George Timms,3,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
"German Reformed Church, U.S.A.",3,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Handley C. G. Moule,3,keep,topic,drop,,not_in_extreme_canonical_set,medium
J. Mountain,3,keep,topic,drop,,not_in_extreme_canonical_set,medium
James Martineau,3,keep,topic,drop,,not_in_extreme_canonical_set,medium
John Chrysostom,3,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Monday in Easter Week,3,keep,topic,map,Easter,seasonal_rule,high
Nerses of Clajes,3,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Old Gallican Sacramentary,3,keep,topic,drop,,not_in_extreme_canonical_set,medium
Ryan Willers,3,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Seventh Sunday After Trinity,3,keep,topic,drop,,not_in_extreme_canonical_set,medium
Student Prayer,3,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
The Clementine Liturgy,3,keep,topic,drop,,not_in_extreme_canonical_set,medium
The Daily Service,3,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
The Nation (Specific to Canada),3,keep,life_or_church_context,keep,The Nation (Specific to Canada),canonical_exact,high
The Nation (Specific to the United States or Mexico),3,keep,life_or_church_context,keep,The Nation (Specific to the United States or Mexico),canonical_exact,high
Thomas Wilson,3,keep,topic,drop,,not_in_extreme_canonical_set,medium
Tuesday Before Easter,3,keep,topic,map,Easter,seasonal_rule,high
Tuesday in Easter Week,3,keep,topic,map,Easter,seasonal_rule,high
W. H. Frere,3,keep,topic,drop,,not_in_extreme_canonical_set,medium
Wednesday Before Easter,3,keep,topic,map,Easter,seasonal_rule,high
A Book of Public Worship,2,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
A Book of Services and Prayers,2,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
A Devotional Diary,2,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
A New Prayer Book,2,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Adapted from Gelasian Sacramentary,2,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Adapted from Irish Prayer Book,2,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Adapted from Jeremy Taylor,2,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Adapted from various sources,2,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
After Gelasian Sacramentary,2,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
After J. H. Newman,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
After Lancelot Andrewes,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
After St. Augustine,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Alcuin,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Ashton Oxenden,2,keep,topic,drop,,not_in_extreme_canonical_set,medium
Barnabas,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Based on Book of Common Prayer,2,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Book of Prayers for Students,2,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Charles Kingsley,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Christian von Bunsen,2,keep,topic,drop,,not_in_extreme_canonical_set,medium
Convocation of York,2,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Coptic Liturgy of St. Cyril,2,keep,topic,drop,,not_in_extreme_canonical_set,medium
Diocese of Southwark,2,merge,source_text,drop,,non_topical_provenance_or_alias,high
Eugene Bersier,2,keep,topic,drop,,not_in_extreme_canonical_set,medium
F. T. Woods,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Frank Houghton,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Frederick Temple,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
From a prayer of the Eastern Church,2,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
From the Accession Service,2,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
G. C. Binyon,2,keep,topic,drop,,not_in_extreme_canonical_set,medium
Gordon Hewitt,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Gothic Missal,2,keep,topic,drop,,not_in_extreme_canonical_set,medium
H. F. Leatherland,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Henry P. Liddon,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
J. Taylor Smith,2,keep,topic,drop,,not_in_extreme_canonical_set,medium
James Mountain,2,keep,topic,drop,,not_in_extreme_canonical_set,medium
John Dowden,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
John Wordsworth,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
"King’s College, Cambridge",2,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Leslie D. Weatherhead,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Leslie S. Hunter,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Let Us Pray,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Liturgy of the Blessed Apostles,2,keep,topic,drop,,not_in_extreme_canonical_set,medium
Margaret Cropper,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
"National Mission, 1916",2,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Office of None,2,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Office of Sext,2,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Polycarp,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
"Prayers for Education Sunday, 1956",2,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Religious Drama Society,2,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Salisbury Cathedral,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Samuel Johnson,2,keep,topic,drop,,not_in_extreme_canonical_set,medium
Seasonal,2,keep,topic,drop,,not_in_extreme_canonical_set,medium
Southwark Diocese,2,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
